,datetime,trade_code,open,high,low,close,volume,amt,chg,pct_chg,adjfactor,turn,free_turn,total_shares,mkt_cap,free_float_shares,mkt_freeshares,annualstdevr_100w,dividendyield2,trade_status
89,2003/1/2,000419.SZ,8.19,8.29,8.03,8.11,496028,4031756,-0.24,-2.8743,3.262779,0.7589,0.7589,175508155,1423371137,65358155,530054637.1,31.1181,1.233,1
90,2003/1/2,000420.SZ,4.6,4.71,4.55,4.56,572474,2637777.1,-0.08,-1.7241,2.279634,0.2947,0.2947,378257464,1724854036,194245739,885760569.8,33.7061,NA,1
91,2003/1/2,000421.SZ,7.01,7.01,6.86,6.87,412568,2849709.6,-0.15,-2.1368,2.800378,0.5431,0.5431,197183005,1354647244,75964893,521878814.9,31.4995,1.4556,1
92,2003/1/2,000422.SZ,8.04,8.09,7.74,7.88,1157166,9153691,-0.72,-8.3721,3.08329,1.0631,1.0631,213880370,1685377316,108850365,857740876.2,29.6405,1.269,1
93,2003/1/2,000423.SZ,9.98,9.99,9.64,9.79,194364,1901969.1,-0.23,-2.2954,3.734706,0.1014,0.1014,272474366,2667524043,191753443,1877266207,20.7831,2.0429,1
94,2003/1/2,000425.SZ,19.21,19.22,19.05,19.12,80201,1536519.1,-0.09,-0.4685,3.91111,0.0413,0.0413,495534200,9474613904,194202360,3713149123,19.6935,0.2615,1
95,2003/1/2,000426.SZ,6.4,6.49,6.31,6.33,158911,1010842.8,-0.09,-1.4019,3.56335,0.1814,0.1814,266207356,1685092563,87586012,554419456,25.1119,0.3291,1
96,2003/1/2,000428.SZ,10.85,11.19,10.76,10.76,285300,3100260.6,-0.33,-2.9757,2.070025,0.4689,0.4689,172840000,1859758400,60840000,654638400,28.5336,3.7175,1
97,2003/1/2,000429.SZ,4.66,4.7,4.5,4.52,545949,2495992.6,-0.13,-2.7957,1.673124,0.1989,0.1989,1257117748,5682172221,274530750,1240878990,29.7112,2.2124,1
98,2003/1/2,000430.SZ,6.7,6.9,6.6,6.71,319249,2140017.8,-0.01,-0.1488,3.061589,0.4293,0.6955,183600000,1231956000,45900000,307989000,36.5372,NA,1
99,2003/1/2,000488.SZ,16.46,16.46,15.79,15.87,154672,2474567.2,-0.8,-4.799,1.118654,0.2009,0.2009,498737724,7914967680,7.70E+07,1221990000,25.4653,NA,1
100,2003/1/2,000498.SZ,4.41,4.46,4.31,4.37,695004,3034912.2,-0.04,-0.907,2,0.3994,0.3994,3.90E+08,1704300000,1.74E+08,760380000,42.1352,NA,1
101,2003/1/2,000501.SZ,4.65,4.73,4.62,4.63,604600,2809165,-0.05,-1.0684,3.467857,0.2958,0.2958,507248590,2348560972,204389852,946325014.8,34.433,NA,1
102,2003/1/2,000502.SZ,12.9,12.97,12.77,12.8,79921,1028786.4,-0.09,-0.6982,2.061914,0.1398,0.1398,155668513,1992556966,57159006,731635276.8,33.1934,NA,1
103,2003/1/2,000503.SZ,13.9,14.85,13.65,14.29,1341771,19328179.8,0.3,2.1444,2.429764,1.1308,1.1308,342287194,4891284002,118659173,1695639582,35.8262,NA,1
104,2003/1/2,000504.SZ,7.92,8.68,7.85,8.28,5244728,44010839.9,0.31,3.8896,1.611311,6.0454,6.0454,311573902,2579831909,86755932,718339117,40.0267,NA,1
105,2003/1/2,000505.SZ,5.58,5.62,5.4,5.41,403280,2212443.8,-0.18,-3.22,2.423877,0.3556,0.3556,377650800,2043090828,113405824,613525507.8,41.5215,NA,1
106,2003/1/2,000506.SZ,11.79,11.79,10.9,11.18,1050340,11841366.5,-0.79,-6.5998,1.754702,0.7278,0.7278,249101743,2784957487,144313500,1613424930,30.1626,NA,1
107,2003/1/2,000507.SZ,4.95,5.02,4.92,4.93,340526,1688044.1,-0.07,-1.4,1.777947,0.1741,0.1741,344997420,1700837281,195558020,964101038.6,31.974,NA,1
108,2003/1/2,000509.SZ,7.2,7.43,7.18,7.23,672261,4900691.7,-0.16,-2.1651,2.784665,0.4455,0.5345,250009885,1807571469,125763387,909269288,35.1693,NA,1
109,2003/1/2,000510.SZ,8.71,8.73,8.64,8.64,442200,3836739,-0.4,-4.4248,6.387472,0.1431,0.1431,468601734,4048718982,309111942,2670727179,27.7079,NA,1
110,2003/1/2,000511.SZ,5.28,5.32,5.13,5.17,1026399,5329450.6,-0.13,-2.4528,3.403012,0.5749,0.5749,269821425,1394976767,178549353,923100155,32.7932,NA,1
111,2003/1/2,000513.SZ,8.61,8.61,8.3,8.31,174650,1468445,-0.52,-5.889,2.098457,0.151,0.151,306035482,2543154855,115672310,961236896.1,35.2032,0.361,1
112,2003/1/2,000514.SZ,9.75,9.93,9.31,9.44,280599,2649009.1,-0.36,-3.6735,1.60965,0.6489,0.6489,117542880,1109604787,43243200,408215808,40.7124,NA,0
113,2003/1/2,000516.SZ,9.75,9.99,9.55,9.7,115570,1127414.8,-0.16,-1.6227,2.268325,0.266,0.266,130378296,1264669471,43454477,421508426.9,29.1905,1.6495,1
114,2003/1/2,000517.SZ,18.2,18.2,17,17.95,130090,2322464,-0.87,-4.6227,2.020065,0.1868,0.1868,145817185,2617418471,69633983,1249929995,27.25,0.3435,1
115,2003/1/2,000518.SZ,8.65,8.66,8.4,8.54,1082398,9299243.1,-0.14,-1.6129,3.854092,0.3109,0.3109,514778111,4396205068,348192000,2973559680,25.846,0.1041,1
116,2003/1/2,000519.SZ,10.5,10.6,9.72,9.95,649645,6567158.2,-0.85,-7.8704,3.000952,1.1195,1.1195,136538286,1358555946,58032046,577418857.7,32.7319,NA,1
117,2003/1/2,000520.SZ,4.78,4.9,4.75,4.81,1294097,6203383.2,0,0,3.805428,0.4384,0.4384,519168762,2497201745,295168010,1419758128,31.9928,1.6632,1
118,2003/1/2,000521.SZ,4.7,4.83,4.61,4.72,448333,2117845.6,-0.06,-1.2552,2.79751,0.2959,0.2959,413642949,1952394719,151530326,715223138.7,33.1833,NA,1
119,2003/1/2,000523.SZ,5.54,5.6,5.45,5.49,518522,2853195.9,-0.07,-1.259,2.718459,0.5505,0.5505,229350622,1259134915,94186745,517085230.1,36.6014,NA,1
120,2003/1/2,000524.SZ,5.72,5.81,5.6,5.65,263988,1506638.9,-0.13,-2.2491,3.336805,0.2667,0.2667,269673744,1523656654,98984714,559263634.1,38.4813,NA,1
121,2003/1/2,000525.SZ,7.46,7.46,7.13,7.19,327532,2367425.2,-0.35,-4.6419,4.663724,0.2531,0.2531,280238842,2014917274,129405863,930428155,24.8069,1.1127,1
122,2003/1/2,000526.SZ,9.6,9.65,9.39,9.45,52990,502726,-0.18,-1.8692,1.628667,0.1617,0.1617,79250285,748915193.3,32775285,309726443.3,31.907,NA,1
